,gx,gy,gz,ax,ay,az,mx,my,mz,q0,q1,q2,q3
111,0.011,0.008,0.024,-0.489,0.369,9.954,-6.701,-2.523,-73.521,0.997,0.017,0.046,0.012
112,0.005,0.031,-0.004,-0.436,0.364,9.935,-8.534,-2.79,-72.144,0.997,0.017,0.046,0.012
113,-0.045,0.019,-0.033,-0.46,0.321,9.877,-8.522,-2.46,-71.702,0.997,0.017,0.046,0.012
114,0.015,0.001,0.039,-0.426,0.369,9.853,-8.974,-2.464,-72.153,0.997,0.017,0.046,0.012
115,0.065,-0.012,0.047,-0.527,0.331,9.925,-9.225,-3.567,-71.459,0.997,0.018,0.046,0.012
116,0.017,0.022,-0.013,-0.354,0.517,10.141,-8.643,-1.8,-70.824,0.997,0.018,0.046,0.012
117,-0.031,-0.004,0.002,-0.383,0.479,9.925,-8.66,-2.616,-71.565,0.997,0.018,0.046,0.012
118,0.06,0.008,0.051,-0.345,0.302,10.002,-9,-2.479,-72.879,0.997,0.018,0.046,0.013
119,0.013,-0.006,0,-0.364,0.311,9.906,-9.147,-1.833,-72.728,0.997,0.018,0.046,0.013
120,0.012,-0.036,0.077,-0.546,0.426,9.987,-9.147,-1.833,-72.728,0.997,0.018,0.046,0.013
121,0.047,-0.021,0.023,-0.441,0.426,9.867,-8.94,-4.057,-71.748,0.997,0.018,0.046,0.013
122,0.009,-0.017,0.039,-0.417,0.359,9.863,-8.94,-4.057,-71.748,0.997,0.018,0.046,0.013
123,-0.041,0.038,-0.01,-0.503,0.407,9.887,-9.558,-2.62,-72.323,0.997,0.018,0.047,0.013
124,-0.025,0.016,0.007,-0.345,0.441,9.915,-9,-2.479,-72.879,0.997,0.018,0.047,0.013
125,-0.034,0.008,-0.003,-0.575,0.484,9.906,-8.677,-3.432,-72.306,0.997,0.018,0.047,0.013
126,0.005,0.016,0.013,-0.498,0.431,9.973,-8.351,-4.221,-71.585,0.997,0.018,0.047,0.013
127,-0.01,0.019,0.053,-0.469,0.402,9.891,-9.522,-2.599,-71.306,0.997,0.018,0.047,0.014
128,-0.023,0.057,-0.004,-0.623,0.565,9.815,-8.699,-2.96,-72.733,0.997,0.018,0.047,0.014
129,-0.053,0.053,-0.011,-0.58,0.522,9.949,-9.144,-2.154,-72.734,0.997,0.018,0.048,0.014
130,-0.025,0.018,-0.019,-0.364,0.225,9.839,-8.692,-2.15,-72.282,0.997,0.017,0.048,0.013
131,0.009,0.013,0.082,-0.407,0.307,9.882,-8.562,-1.677,-72.558,0.997,0.018,0.048,0.014
132,-0.009,0.052,-0.005,-0.527,0.302,9.992,-8.562,-1.677,-72.558,0.997,0.017,0.048,0.014
133,-0.007,-0.019,0.037,-0.445,0.445,9.877,-9.282,-0.858,-72.134,0.997,0.017,0.048,0.014
134,-0.004,0.046,-0.033,-0.321,0.316,9.829,-9.58,-2.148,-72.749,0.997,0.017,0.048,0.014
135,-0.047,0.079,0.016,-0.374,0.335,9.848,-9.103,-3.42,-72.032,0.997,0.017,0.049,0.014
136,0.057,-0.027,0.054,-0.364,0.359,9.858,-8.7,-3.767,-73.038,0.997,0.017,0.048,0.014
137,-0.014,-0.041,0.025,-0.426,0.388,9.968,-9.725,-1.663,-72.6,0.997,0.017,0.048,0.014
138,-0.015,0.033,-0.015,-0.46,0.484,9.911,-7.55,-2.66,-72.975,0.997,0.017,0.048,0.014
139,-0.036,-0.001,0.033,-0.402,0.331,9.796,-9.14,-3.441,-73.048,0.997,0.017,0.048,0.014
140,0.036,0.005,0.014,-0.311,0.45,10.093,-7.946,-0.536,-71.21,0.997,0.017,0.048,0.015
141,0.017,-0.045,0.074,-0.417,0.35,9.858,-9.247,-1.644,-71.423,0.997,0.017,0.048,0.015
142,0.038,-0.012,0.011,-0.398,0.235,9.935,-9.247,-1.644,-71.423,0.997,0.017,0.048,0.015
143,0.019,-0.062,0.059,-0.263,0.062,10.174,-8.932,-2.44,-70.992,0.997,0.018,0.048,0.015
144,0.051,-0.023,0.03,-0.489,0.513,10.03,-8.932,-2.44,-70.992,0.997,0.018,0.048,0.015
145,-0.029,0.006,0.016,-0.417,0.417,9.834,-7.513,-2.639,-71.959,0.997,0.018,0.048,0.015
146,-0.033,-0.056,0.003,-0.513,0.369,9.844,-8.476,-3.24,-70.701,0.997,0.018,0.047,0.015
147,0.043,-0.016,-0.037,-0.407,0.484,9.858,-7.925,-1.008,-70.783,0.997,0.018,0.047,0.015
148,0.1,-0.098,0.022,-0.465,0.216,9.944,-8.974,-2.464,-72.153,0.997,0.018,0.047,0.015
149,0.043,-0.106,0.064,-0.311,0.513,9.786,-10.271,-2.925,-72.065,0.997,0.018,0.046,0.016
150,0.015,-0.109,-0.009,-0.388,0.316,9.958,-8.979,-1.983,-72.144,0.997,0.019,0.046,0.016
151,-0.02,-0.066,0.026,-0.398,0.455,9.911,-8.979,-1.983,-72.144,0.997,0.018,0.046,0.016
152,-0.011,-0.134,0.018,-0.211,0.436,9.958,-9.844,-2.13,-72.034,0.997,0.018,0.045,0.016
153,-0.022,-0.052,-0.027,-0.34,0.455,9.867,-8.527,-1.98,-71.693,0.997,0.018,0.045,0.016
154,-0.062,-0.121,-0.013,-0.263,0.345,9.987,-8.527,-1.98,-71.693,0.997,0.018,0.044,0.016
155,-0.003,-0.107,0.05,-0.359,0.201,9.887,-8.535,-0.372,-71.373,0.997,0.018,0.044,0.016
156,0.072,-0.133,0.03,-0.34,0.354,9.954,-8.677,-3.432,-72.306,0.997,0.018,0.043,0.016
157,-0.004,-0.094,-0.002,-0.326,0.46,10.011,-7.548,-1.853,-72.67,0.997,0.018,0.043,0.016
158,-0.036,-0.104,-0.032,-0.192,0.35,9.973,-8.947,-2.449,-71.427,0.997,0.018,0.042,0.016
159,-0.048,-0.071,-0.039,-0.244,0.431,9.853,-9.147,-1.833,-72.728,0.997,0.018,0.042,0.016
160,-0.041,-0.066,-0.001,-0.182,0.359,9.997,-8.508,-2.775,-71.418,0.997,0.018,0.041,0.016
161,-0.044,-0.053,0.031,-0.22,0.479,9.915,-9.243,-1.965,-71.429,0.997,0.017,0.041,0.016
162,0.033,-0.048,0.048,-0.287,0.268,9.978,-10.145,-1.648,-72.18,0.997,0.017,0.041,0.016
163,0.029,-0.074,0.052,-0.225,0.479,9.93,-10.145,-1.648,-72.18,0.997,0.018,0.041,0.016
164,0.03,-0.072,0.006,-0.263,0.393,9.939,-9.548,-2.614,-72.032,0.997,0.018,0.041,0.016
165,-0.038,-0.01,-0.043,-0.23,0.311,9.954,-9.574,-2.629,-72.758,0.997,0.018,0.041,0.016
166,-0.022,-0.061,-0.003,-0.283,0.302,9.925,-9.574,-2.629,-72.758,0.997,0.017,0.041,0.016
167,-0.056,-0.03,0.011,-0.273,0.398,9.863,-8.954,-2.775,-71.724,0.997,0.017,0.041,0.016
168,0.08,-0.114,0.018,-0.23,0.359,9.767,-9.727,-2.47,-72.906,0.997,0.018,0.04,0.016
169,0.04,-0.095,0.004,-0.201,0.278,9.834,-8.538,-2.469,-72.138,0.997,0.018,0.04,0.016
170,0.01,-0.001,-0.012,-0.11,0.297,9.963,-9.255,-3.261,-72.179,0.997,0.018,0.04,0.016
