ax,ay,az,gx,gy,gz,mx,my,mz
-16136.0,240.0,-256.0,715.0,656.0,-283.0,156.0,-170.0,-305.0
-16608.0,256.0,368.0,708.0,774.0,-698.0,148.0,-165.0,-313.0
-15992.0,-96.0,48.0,1500.0,771.0,-917.0,157.0,-161.0,-309.0
-17304.0,-136.0,200.0,367.0,-169.0,671.0,154.0,-168.0,-296.0
-16896.0,88.0,120.0,-230.0,-32.0,357.0,169.0,-170.0,-305.0
-16584.0,152.0,128.0,-928.0,-105.0,-299.0,157.0,-163.0,-299.0
-16664.0,296.0,520.0,8.0,-612.0,-405.0,153.0,-165.0,-310.0
-16448.0,304.0,208.0,-530.0,-357.0,711.0,150.0,-172.0,-315.0
-16384.0,272.0,472.0,91.0,-822.0,260.0,152.0,-171.0,-309.0
-16456.0,80.0,88.0,-3025.0,-1381.0,213.0,158.0,-155.0,-305.0
-16424.0,376.0,664.0,-2754.0,-1573.0,121.0,154.0,-151.0,-311.0
-16416.0,-80.0,704.0,-1154.0,-423.0,96.0,165.0,-161.0,-316.0
-16456.0,32.0,656.0,-862.0,-378.0,327.0,161.0,-157.0,-323.0
-16360.0,136.0,640.0,-995.0,-1518.0,26.0,156.0,-162.0,-328.0
-16456.0,72.0,1008.0,-364.0,-973.0,501.0,149.0,-161.0,-314.0
-16376.0,232.0,720.0,-1783.0,-1433.0,79.0,156.0,-162.0,-315.0
-16248.0,112.0,1352.0,-1820.0,-1173.0,588.0,154.0,-171.0,-327.0
-16544.0,72.0,984.0,-1381.0,-1104.0,329.0,149.0,-161.0,-322.0
-16312.0,248.0,1480.0,418.0,-1341.0,548.0,150.0,-162.0,-328.0
-16448.0,392.0,1384.0,142.0,-610.0,49.0,145.0,-160.0,-318.0
-16608.0,112.0,1368.0,-2010.0,-994.0,-205.0,153.0,-155.0,-320.0
-16352.0,-104.0,1568.0,498.0,-630.0,497.0,146.0,-163.0,-327.0
-16688.0,144.0,1544.0,10.0,587.0,-165.0,141.0,-163.0,-329.0
-16160.0,352.0,1496.0,502.0,565.0,-10.0,152.0,-166.0,-332.0
-16376.0,240.0,1360.0,428.0,701.0,-280.0,142.0,-167.0,-323.0
-16208.0,320.0,1600.0,-438.0,919.0,-62.0,157.0,-161.0,-329.0
-16376.0,240.0,1392.0,874.0,169.0,158.0,149.0,-159.0,-322.0
-16400.0,96.0,1248.0,1077.0,473.0,77.0,150.0,-157.0,-335.0
-16592.0,40.0,1440.0,352.0,605.0,-385.0,154.0,-168.0,-324.0
-16416.0,216.0,1256.0,-33.0,736.0,180.0,145.0,-160.0,-325.0
-16472.0,160.0,1296.0,544.0,890.0,-167.0,148.0,-155.0,-323.0
-16400.0,120.0,992.0,-832.0,826.0,116.0,150.0,-160.0,-320.0
-16448.0,544.0,1368.0,433.0,1172.0,-258.0,158.0,-165.0,-328.0
-16592.0,296.0,856.0,120.0,1256.0,-146.0,140.0,-162.0,-320.0
-16592.0,88.0,1032.0,671.0,1054.0,-183.0,145.0,-162.0,-330.0
-16392.0,248.0,1024.0,382.0,688.0,-42.0,153.0,-165.0,-318.0
-16544.0,8.0,1208.0,1322.0,633.0,-84.0,154.0,-154.0,-319.0
-16448.0,96.0,1008.0,884.0,436.0,331.0,156.0,-167.0,-315.0
-16528.0,312.0,760.0,886.0,284.0,210.0,141.0,-166.0,-324.0
-16608.0,208.0,624.0,898.0,542.0,41.0,152.0,-173.0,-309.0
-16616.0,264.0,624.0,430.0,732.0,-237.0,156.0,-162.0,-313.0
-16232.0,128.0,784.0,-709.0,811.0,182.0,154.0,-161.0,-316.0
-16488.0,168.0,984.0,812.0,433.0,443.0,146.0,-161.0,-322.0
-16256.0,240.0,792.0,45.0,466.0,20.0,152.0,-161.0,-319.0
-16320.0,136.0,736.0,641.0,96.0,440.0,160.0,-163.0,-311.0
-16544.0,280.0,752.0,-179.0,40.0,480.0,157.0,-168.0,-322.0
-16584.0,120.0,776.0,-185.0,506.0,92.0,149.0,-163.0,-314.0
