n,gx,gy,gz,ax,ay,az,mx,my,mz,q0,q1,q3,q4
72,-0.022,0.049,-0.011,-0.474,0.139,9.992,1.038,-2.999,-92.054,0.984,0.005,0.011,-0.17
73,-0.024,0.009,0.016,-0.536,0.177,9.992,1.038,-2.999,-92.054,0.984,0.005,0.012,-0.17
74,-0.003,0.012,0.017,-0.426,0.192,9.997,0.883,-1.713,-91.89,0.984,0.005,0.012,-0.169
75,0.024,0.003,0.06,-0.498,0.158,9.982,0.857,-1.728,-92.616,0.984,0.006,0.012,-0.169
76,-0.013,0.026,0.021,-0.546,0.024,9.963,1.509,-3.79,-91.328,0.984,0.006,0.012,-0.169
77,-0.04,0.034,-0.042,-0.517,0.072,9.935,-0.746,-3.645,-93.436,0.984,0.005,0.012,-0.169
78,0.006,-0.012,0.077,-0.594,0.216,9.915,0.81,-3.689,-94.54,0.984,0.006,0.012,-0.169
79,0,0.061,-0.015,-0.589,0.115,9.834,1.323,-2.038,-91.881,0.984,0.006,0.013,-0.169
80,-0.004,-0.025,0.008,-0.536,0.168,9.887,0.143,-2.84,-92.664,0.984,0.006,0.013,-0.169
81,-0.021,-0.031,0.016,-0.527,0.192,9.896,1.299,-3.664,-93.072,0.984,0.006,0.013,-0.169
82,-0.074,0.044,-0.064,-0.517,0.134,9.939,1.299,-3.664,-93.072,0.984,0.005,0.013,-0.169
83,0.002,-0.007,0.063,-0.441,0.125,9.935,2.177,-4.639,-93.204,0.984,0.005,0.013,-0.169
84,-0.028,-0.031,-0.01,-0.594,0.153,9.949,1.87,-4.161,-93.496,0.984,0.005,0.013,-0.169
85,-0.022,-0.044,0.011,-0.498,0.072,9.877,1.87,-4.161,-93.496,0.984,0.005,0.013,-0.169
86,-0.043,0.032,-0.018,-0.599,0.038,9.973,0.74,-3.805,-92.515,0.984,0.005,0.013,-0.169
87,-0.022,-0.035,0.094,-0.536,0.244,9.987,0.395,-3.188,-93.821,0.984,0.005,0.013,-0.168
88,-0.03,-0.001,0.031,-0.527,0.129,9.882,0.39,-3.675,-94.12,0.984,0.005,0.013,-0.168
89,-0.026,-0.032,0.002,-0.618,0.168,9.887,2.211,-3.007,-91.722,0.984,0.005,0.013,-0.168
90,0.035,-0.03,-0.007,-0.455,0.101,9.925,1.428,-2.708,-93.194,0.984,0.005,0.013,-0.168
91,0.043,0.001,0,-0.551,0.125,9.968,1.267,-3.199,-93.789,0.984,0.005,0.013,-0.168
92,0.004,-0.083,0.013,-0.522,0.254,9.935,0.437,-3.164,-92.659,0.984,0.005,0.013,-0.168
93,-0.022,-0.008,-0.014,-0.469,0.034,9.958,0.283,-1.878,-92.495,0.984,0.005,0.013,-0.168
94,-0.03,0.025,-0.049,-0.513,-0.005,9.805,1.91,-3.01,-92.023,0.984,0.005,0.013,-0.169
95,0.001,-0.052,0,-0.469,0.081,9.915,1.91,-3.01,-92.023,0.984,0.005,0.013,-0.169
96,-0.019,0.022,0.013,-0.484,0.115,9.92,1.024,-4.135,-92.801,0.984,0.005,0.013,-0.169
97,-0.027,-0.009,-0.009,-0.536,0.062,9.963,1.024,-4.135,-92.801,0.984,0.005,0.013,-0.169
98,0.034,-0.037,0.012,-0.589,0.12,9.781,-0.281,-3.956,-92.7,0.984,0.005,0.013,-0.169
99,0.024,-0.017,0.023,-0.493,0.091,9.82,0.418,-2.853,-93.089,0.984,0.006,0.013,-0.168
100,-0.021,0.009,0.024,-0.35,-0.043,9.92,1.483,-3.805,-92.054,0.984,0.006,0.013,-0.168
101,-0.06,0.029,0,-0.604,0.125,9.992,2.721,-3.217,-93.737,0.984,0.005,0.013,-0.168
102,-0.001,-0.009,0.021,-0.565,0.158,9.906,2.633,-2.698,-91.991,0.984,0.005,0.013,-0.168
103,-0.083,0.032,0.003,-0.441,0.163,9.93,1.626,-3.163,-91.891,0.984,0.005,0.013,-0.168
104,-0.088,0.014,-0.003,-0.508,0.077,9.978,1.626,-3.163,-91.891,0.984,0.005,0.014,-0.168
105,-0.024,0.002,0.022,-0.479,0.077,9.973,-0.256,-4.748,-92.28,0.984,0.005,0.014,-0.168
106,-0.026,0.015,0.008,-0.618,0.096,9.954,1.63,-4.451,-92.206,0.984,0.005,0.014,-0.168
