n,gx,gy,gz,ax,ay,az,mx,my,mz,q0,q1,q3,q4
1513,-0.008,0.108,-0.079,9.623,0.388,-1.327,-45.456,3.765,-119.127,0.79,-0.084,-0.591,-0.128
1514,0.031,0.063,-0.044,9.671,0.378,-1.217,-45.775,4.397,-119.706,0.789,-0.084,-0.592,-0.129
1515,0.066,-0.008,0.014,9.719,0.316,-1.26,-45.775,4.397,-119.706,0.788,-0.084,-0.593,-0.129
1516,0.016,0.023,-0.018,9.647,0.292,-1.198,-44.681,4.106,-117.643,0.788,-0.085,-0.594,-0.129
1517,-0.008,0.024,-0.019,9.776,0.412,-1.221,-46.045,3.929,-119.29,0.787,-0.085,-0.595,-0.13
1518,-0.006,-0.009,-0.027,9.599,0.311,-1.212,-45.892,3.77,-119.143,0.786,-0.085,-0.596,-0.131
1519,-0.003,-0.007,-0.046,9.714,0.374,-1.279,-44.877,4.401,-118.949,0.785,-0.086,-0.597,-0.131
1520,0.031,0.005,0.019,9.633,0.364,-1.279,-45.327,4.721,-119.249,0.784,-0.086,-0.598,-0.131
1521,0.006,0.036,-0.012,9.662,0.326,-1.26,-45.723,4.427,-118.254,0.783,-0.087,-0.599,-0.132
1522,0.013,-0.002,-0.015,9.681,0.407,-1.375,-45.309,3.119,-119.279,0.782,-0.087,-0.6,-0.132
1523,0.066,0.018,-0.006,9.82,0.402,-1.231,-46.633,4.094,-119.453,0.781,-0.087,-0.601,-0.133
1524,0.033,0.022,0.029,9.714,0.34,-1.269,-45.762,5.534,-118.959,0.78,-0.088,-0.602,-0.133
1525,-0.02,0.023,-0.036,9.575,0.426,-1.26,-45.762,5.534,-118.959,0.779,-0.088,-0.603,-0.134
1526,0.038,-0.058,0.109,9.69,0.522,-1.226,-46.066,4.401,-119.717,0.778,-0.089,-0.604,-0.134
1527,-0.019,0.025,-0.006,9.719,0.34,-1.37,-47.017,4.129,-118.017,0.777,-0.089,-0.605,-0.134
1528,0.017,-0.055,0.107,9.791,0.331,-1.346,-45.194,5.357,-119.377,0.776,-0.09,-0.606,-0.134
1529,0.028,0.035,0.049,9.676,0.436,-1.365,-45.46,4.085,-119.121,0.776,-0.091,-0.607,-0.134
1530,-0.034,0.013,-0.012,9.484,0.369,-1.241,-46.904,2.819,-119.342,0.775,-0.091,-0.608,-0.135
1531,-0.011,0.038,-0.006,9.724,0.402,-1.456,-46.577,3.803,-118.007,0.774,-0.092,-0.609,-0.136
1532,0.052,0.001,0.032,9.681,0.498,-1.394,-45.425,3.299,-118.41,0.773,-0.092,-0.611,-0.136
1533,0.064,0.005,0.033,9.719,0.489,-1.293,-46.343,4.09,-119.443,0.772,-0.092,-0.612,-0.136
1534,0.066,0.062,0.042,9.729,0.422,-1.269,-45.451,3.284,-119.136,0.771,-0.093,-0.613,-0.136
1535,-0.015,0.025,-0.024,9.633,0.249,-1.212,-45.451,3.284,-119.136,0.77,-0.093,-0.614,-0.137
1536,-0.021,0.033,0.016,9.709,0.441,-1.212,-45.203,6.158,-119.362,0.769,-0.094,-0.615,-0.137
1537,-0.006,0.031,-0.003,9.681,0.326,-1.327,-45.203,6.158,-119.362,0.768,-0.094,-0.616,-0.138
1538,0.044,-0.011,0.048,9.748,0.273,-1.202,-45.477,3.269,-119.862,0.767,-0.095,-0.617,-0.138
1539,0.029,-0.037,0.075,9.676,0.316,-1.327,-46.322,4.586,-118.708,0.766,-0.095,-0.618,-0.138
1540,0.003,0.041,0.031,9.786,0.417,-1.289,-46.926,4.741,-119.306,0.765,-0.096,-0.619,-0.138
1541,0.051,-0.007,0.074,9.599,0.316,-1.174,-46.488,3.125,-119.756,0.764,-0.097,-0.62,-0.138
1542,-0.022,0.018,-0.006,9.618,0.283,-1.198,-45.309,3.119,-119.279,0.763,-0.097,-0.621,-0.139
1543,0.02,0.023,0.008,9.638,0.34,-1.274,-46.061,3.92,-119.726,0.762,-0.098,-0.622,-0.139
1544,-0.003,0.001,-0.009,9.671,0.374,-1.384,-46.313,3.785,-118.723,0.761,-0.098,-0.623,-0.14
1545,0.034,0.024,-0.035,9.891,0.321,-1.193,-47.069,4.099,-119.469,0.76,-0.098,-0.624,-0.141
1546,0.013,-0.008,0.025,9.757,0.422,-1.135,-46.9,4.756,-118.58,0.759,-0.099,-0.626,-0.141
1547,0.028,-0.05,0.006,9.685,0.345,-1.356,-46.9,4.756,-118.58,0.757,-0.099,-0.627,-0.141
1548,0.007,0.046,-0.013,9.618,0.263,-1.236,-46.385,4.066,-120.604,0.756,-0.1,-0.628,-0.142
1549,-0.004,0.023,-0.022,9.786,0.273,-1.25,-45.854,4.115,-117.975,0.755,-0.1,-0.629,-0.142
1550,0.026,-0.026,0.012,9.585,0.354,-1.289,-46.614,3.299,-119.178,0.754,-0.101,-0.63,-0.143
1551,-0.013,0.058,-0.044,9.642,0.321,-1.25,-46.472,3.134,-119.321,0.753,-0.101,-0.631,-0.143
1552,-0.009,-0.009,-0.024,9.575,0.388,-1.231,-44.763,2.931,-120.277,0.752,-0.102,-0.633,-0.144
1553,-0.042,0.037,-0.026,9.59,0.292,-1.303,-46.642,4.895,-119.438,0.751,-0.102,-0.634,-0.145
1554,0.012,0.061,-0.029,9.695,0.369,-1.408,-45.476,4.56,-119.402,0.75,-0.103,-0.635,-0.145
1555,-0.025,0.018,-0.029,9.666,0.326,-1.25,-45.775,4.397,-119.706,0.749,-0.103,-0.636,-0.146
1556,0.029,0.012,0.046,9.662,0.24,-1.154,-44.733,4.076,-119.095,0.748,-0.104,-0.637,-0.146
1557,0.018,0.037,0.019,9.671,0.24,-1.308,-44.733,4.076,-119.095,0.747,-0.104,-0.638,-0.147
1558,0.003,0.022,-0.018,9.671,0.422,-1.202,-47.556,4.881,-120.631,0.745,-0.105,-0.639,-0.147
1559,-0.029,0.039,-0.015,9.709,0.331,-1.332,-46.486,4.415,-119.297,0.744,-0.105,-0.64,-0.148
1560,0.05,-0.07,0.025,9.662,0.259,-1.303,-46.486,4.415,-119.297,0.743,-0.106,-0.641,-0.148
1561,0.007,-0.024,-0.007,9.709,0.417,-1.265,-45.443,4.901,-118.38,0.742,-0.107,-0.643,-0.149
1562,0.01,-0.007,-0.015,9.623,0.297,-1.198,-45.912,4.565,-119.418,0.74,-0.107,-0.644,-0.149
1563,0.044,0.014,0.016,9.633,0.378,-1.312,-45.759,4.406,-119.27,0.739,-0.107,-0.645,-0.149
1564,-0.012,0.007,-0.037,9.604,0.297,-1.15,-45.895,5.381,-118.677,0.738,-0.108,-0.646,-0.15
1565,0.041,-0.014,0.022,9.757,0.331,-1.236,-46.894,2.825,-119.052,0.737,-0.108,-0.648,-0.15
1566,0.02,-0.029,-0.05,9.618,0.445,-1.399,-46.9,4.756,-118.58,0.735,-0.109,-0.649,-0.151
1567,0.065,-0.027,0.031,9.638,0.345,-1.255,-46.343,4.09,-119.443,0.734,-0.109,-0.65,-0.151
1568,-0.02,0.014,0.014,9.542,0.273,-1.308,-44.777,3.245,-120.562,0.733,-0.11,-0.651,-0.152
1569,-0.026,0.009,0.014,9.618,0.388,-1.25,-46.049,5.217,-118.976,0.732,-0.111,-0.653,-0.152
1570,0.017,-0.029,-0.003,9.657,0.297,-1.226,-45.786,4.391,-119.996,0.73,-0.111,-0.654,-0.153
1571,0.058,-0.032,0.036,9.748,0.431,-1.154,-45.786,4.391,-119.996,0.729,-0.112,-0.655,-0.153
1572,0.025,-0.018,0.034,9.714,0.407,-1.356,-46.497,3.926,-119.741,0.728,-0.112,-0.657,-0.153
1573,-0.023,0.012,0.016,9.594,0.34,-1.279,-44.757,2.45,-120.286,0.726,-0.113,-0.658,-0.154
1574,0.019,-0.006,0.019,9.657,0.369,-1.226,-46.339,3.77,-119.449,0.725,-0.114,-0.659,-0.154
1575,-0.003,0.006,0.048,9.695,0.383,-1.423,-47.63,3.635,-119.063,0.724,-0.114,-0.66,-0.154
1576,0.012,-0.024,0.029,9.542,0.278,-1.461,-46.643,2.153,-120.36,0.722,-0.115,-0.662,-0.155
1577,0.043,-0.026,0.021,9.633,0.307,-1.221,-47.064,4.586,-119.17,0.721,-0.116,-0.663,-0.155
1578,0.029,-0.005,0.04,9.623,0.216,-1.231,-47.064,4.586,-119.17,0.72,-0.116,-0.664,-0.155
1579,-0.019,0.025,-0.042,9.719,0.345,-1.308,-46.679,5.357,-120.3,0.718,-0.117,-0.665,-0.156
1580,0.001,-0.005,-0.026,9.671,0.35,-1.274,-45.353,4.706,-119.975,0.717,-0.117,-0.667,-0.156
1581,0.039,-0.011,0.048,9.872,0.354,-1.236,-45.353,4.706,-119.975,0.716,-0.118,-0.668,-0.157
1582,-0.06,0.012,-0.019,9.623,0.292,-1.111,-47.517,3.775,-119.926,0.714,-0.119,-0.669,-0.157
1583,-0.025,-0.005,-0.068,9.695,0.326,-1.269,-46.502,4.406,-119.732,0.713,-0.119,-0.67,-0.158
1584,-0.002,0.015,-0.01,9.638,0.407,-1.399,-46.924,5.548,-119.001,0.711,-0.12,-0.671,-0.159
1585,0.016,-0.056,0.04,9.719,0.359,-1.245,-45.386,3.881,-121.151,0.71,-0.12,-0.673,-0.159
1586,-0.017,0.032,0.04,9.815,0.388,-1.423,-46.49,4.736,-119.291,0.709,-0.121,-0.674,-0.16
1587,0.002,0.016,0.056,9.633,0.302,-1.322,-45.919,3.755,-119.869,0.707,-0.122,-0.675,-0.16
1588,0.055,-0.011,0.042,9.757,0.398,-1.293,-45.93,2.459,-120.619,0.706,-0.122,-0.676,-0.16
1589,-0.019,0.044,-0.033,9.69,0.216,-1.265,-45.486,4.07,-119.847,0.705,-0.123,-0.678,-0.161
1590,0.021,0.013,0.03,9.628,0.331,-1.241,-46.512,4.4,-120.023,0.703,-0.124,-0.679,-0.161
1591,-0.014,0.05,-0.003,9.628,0.431,-1.303,-46.512,4.4,-120.023,0.702,-0.124,-0.68,-0.162
1592,0.036,-0.003,0.023,9.662,0.359,-1.241,-46.467,3.62,-119.021,0.701,-0.125,-0.681,-0.162
1593,-0.027,0.025,0.006,9.652,0.24,-1.25,-46.008,3.95,-118.274,0.699,-0.125,-0.682,-0.162
1594,0.011,0.053,-0.019,9.685,0.273,-1.169,-44.495,3.559,-120.69,0.698,-0.126,-0.683,-0.163
1595,0.088,0.012,-0.025,9.662,0.331,-1.346,-45.314,3.6,-119.27,0.697,-0.126,-0.684,-0.163
1596,0.004,0.043,-0.036,9.714,0.436,-1.504,-46.915,2.329,-119.787,0.695,-0.127,-0.686,-0.164
1597,0.059,0.013,0.033,9.709,0.311,-1.37,-46.357,5.372,-119.419,0.694,-0.127,-0.687,-0.164
1598,-0.023,0.05,-0.042,9.59,0.283,-1.25,-46.057,3.6,-119.732,0.693,-0.128,-0.688,-0.165
1599,0.006,0.014,0.023,9.604,0.307,-1.145,-45.314,3.6,-119.27,0.691,-0.128,-0.689,-0.165
1600,0.014,-0.006,0.025,9.733,0.34,-1.265,-44.478,4.375,-119.949,0.69,-0.129,-0.69,-0.166
1601,0.026,-0.022,-0.007,9.709,0.35,-1.255,-44.478,4.375,-119.949,0.688,-0.13,-0.692,-0.166
1602,0.019,0.038,-0.031,9.671,0.34,-1.37,-44.297,4.071,-119.079,0.687,-0.13,-0.693,-0.167
1603,0.011,-0.047,0.016,9.57,0.374,-1.279,-46.341,4.897,-119.137,0.685,-0.131,-0.694,-0.167
1604,0.05,-0.012,-0.055,9.662,0.211,-1.308,-47.088,2.96,-120.361,0.684,-0.131,-0.696,-0.167
1605,0.042,0.009,0.002,9.618,0.23,-1.245,-47.06,3.298,-119.484,0.682,-0.131,-0.697,-0.168
1606,-0.018,0.058,-0.038,9.633,0.335,-1.269,-46.325,4.906,-118.702,0.681,-0.132,-0.698,-0.168
1607,-0.029,-0.034,-0.024,9.594,0.321,-1.269,-46.306,4.111,-118.426,0.679,-0.133,-0.699,-0.169
1608,0.01,-0.074,0.017,9.599,0.383,-1.351,-44.731,2.949,-119.406,0.678,-0.133,-0.701,-0.169
1609,-0.013,-0.043,0.01,9.618,0.378,-1.25,-46.507,3.92,-120.032,0.676,-0.134,-0.702,-0.17
1610,-0.014,0,-0.058,9.753,0.441,-1.164,-45.443,4.901,-118.38,0.674,-0.135,-0.703,-0.171
1611,0.022,-0.072,-0.019,9.542,0.402,-1.427,-45.886,4.58,-118.692,0.672,-0.135,-0.705,-0.171
1612,-0.002,-0.076,0.003,9.657,0.326,-1.336,-45.886,4.58,-118.692,0.671,-0.136,-0.706,-0.171
1613,0.03,-0.066,0.008,9.594,0.34,-1.427,-46.087,3.905,-120.452,0.669,-0.136,-0.708,-0.172
1614,-0.018,-0.06,-0.067,9.685,0.383,-1.408,-46.087,3.905,-120.452,0.667,-0.137,-0.709,-0.173
1615,0.035,-0.032,0.028,9.609,0.359,-1.442,-44.462,3.9,-119.668,0.665,-0.138,-0.711,-0.173
1616,0.03,-0.012,0.029,9.671,0.412,-1.408,-46.931,5.222,-119.297,0.664,-0.138,-0.712,-0.173
1617,0.034,-0.039,-0.003,9.532,0.331,-1.37,-45.943,4.547,-120.289,0.662,-0.139,-0.713,-0.173
1618,0.011,-0.012,0.051,9.714,0.474,-1.322,-46.316,4.105,-118.717,0.66,-0.14,-0.715,-0.174
1619,0.058,-0.021,0.039,9.705,0.417,-1.308,-46.955,3.596,-120.489,0.659,-0.14,-0.716,-0.174
1620,-0.002,-0.003,0.02,9.638,0.311,-1.274,-46.903,3.626,-119.037,0.657,-0.141,-0.717,-0.174
1621,0.007,-0.049,0.061,9.566,0.307,-1.365,-46.334,3.289,-119.458,0.656,-0.142,-0.719,-0.174
1622,-0.042,0.017,0.01,9.767,0.522,-1.308,-46.334,3.289,-119.458,0.654,-0.143,-0.72,-0.175
1623,-0.045,0.012,0.035,9.614,0.412,-1.322,-46.612,4.589,-118.718,0.652,-0.143,-0.721,-0.175
1624,0.058,-0.025,0.103,9.662,0.364,-1.418,-45.528,4.046,-121.008,0.651,-0.144,-0.722,-0.175
1625,0.067,-0.025,0.094,9.542,0.316,-1.25,-45.528,4.046,-121.008,0.649,-0.145,-0.723,-0.175
1626,-0.018,0.013,0.002,9.729,0.393,-1.399,-44.864,2.313,-119.278,0.648,-0.146,-0.725,-0.176
1627,-0.018,0.07,-0.019,9.767,0.431,-1.332,-45.939,3.26,-120.604,0.646,-0.146,-0.726,-0.176
1628,0.026,-0.063,0.051,9.695,0.263,-1.322,-46.95,3.115,-120.498,0.645,-0.147,-0.727,-0.177
1629,0.039,0.003,0.064,9.575,0.287,-1.317,-45.962,2.924,-121.336,0.643,-0.148,-0.728,-0.177
1630,-0.015,-0.009,0.012,9.609,0.479,-1.49,-46.949,4.406,-120.038,0.641,-0.149,-0.729,-0.177
1631,-0.025,0.038,-0.022,9.676,0.527,-1.317,-46.041,3.125,-119.45,0.64,-0.149,-0.73,-0.178
1632,-0.027,0.005,0.004,9.729,0.364,-1.269,-47.081,3.77,-119.911,0.638,-0.15,-0.732,-0.178
1633,-0.009,-0.07,0.066,9.705,0.292,-1.447,-46.332,4.096,-119.152,0.636,-0.151,-0.733,-0.178
1634,0.009,0.007,0.04,9.719,0.388,-1.303,-45.745,3.608,-119.14,0.635,-0.152,-0.734,-0.179
1635,0.007,0.018,0.005,9.671,0.297,-1.312,-45.766,3.596,-119.721,0.633,-0.152,-0.735,-0.179
1636,0.038,-0.014,0.043,9.662,0.393,-1.442,-45.362,5.507,-119.96,0.631,-0.153,-0.736,-0.179
1637,-0.008,0.028,0.027,9.652,0.321,-1.274,-45.362,5.507,-119.96,0.63,-0.154,-0.737,-0.18
1638,0.045,-0.049,0.023,9.7,0.354,-1.346,-45.367,3.57,-120.722,0.628,-0.154,-0.739,-0.18
1639,-0.003,-0.007,-0.007,9.657,0.23,-1.384,-45.723,4.427,-118.254,0.626,-0.155,-0.74,-0.18
1640,-0.019,0.05,-0.051,9.628,0.369,-1.351,-46.37,3.752,-120.32,0.625,-0.156,-0.741,-0.181
1641,0.02,-0.035,0.011,9.604,0.311,-1.403,-44.898,3.906,-119.684,0.623,-0.156,-0.742,-0.181
1642,0.034,-0.004,-0.01,9.614,0.287,-1.37,-45.757,2.795,-119.736,0.621,-0.157,-0.744,-0.182
1643,0.017,0.009,0.044,9.561,0.364,-1.346,-45.492,4.551,-119.838,0.62,-0.157,-0.745,-0.182
1644,0.006,-0.002,0.046,9.714,0.316,-1.36,-46.67,4.556,-120.315,0.618,-0.158,-0.746,-0.182
1645,-0.034,0.064,-0.023,9.638,0.369,-1.399,-46.67,4.556,-120.315,0.617,-0.159,-0.747,-0.183
1646,-0.041,0.015,-0.001,9.489,0.354,-1.418,-46.479,4.742,-119,0.615,-0.16,-0.748,-0.183
1647,0.016,-0.005,-0.011,9.604,0.249,-1.255,-46.479,4.742,-119,0.613,-0.16,-0.749,-0.184
1648,0.039,-0.013,-0.018,9.666,0.374,-1.332,-45.447,2.964,-119.142,0.612,-0.161,-0.75,-0.184
1649,-0.025,0.033,-0.02,9.618,0.374,-1.322,-44.346,3.72,-120.537,0.61,-0.161,-0.751,-0.185
1650,0.006,0.02,0.029,9.657,0.417,-1.26,-45.904,2.474,-119.893,0.609,-0.162,-0.752,-0.185
1651,0.015,-0.035,0.042,9.748,0.398,-1.341,-44.929,4.371,-120.401,0.607,-0.163,-0.753,-0.185
1652,-0.019,0.014,-0.05,9.657,0.412,-1.336,-45.735,3.131,-119.004,0.605,-0.163,-0.755,-0.186
1653,-0.009,0.027,-0.016,9.805,0.287,-1.456,-46.663,5.366,-119.865,0.603,-0.164,-0.756,-0.186
1654,0.055,-0.027,0.008,9.556,0.374,-1.289,-46.358,4.081,-119.878,0.602,-0.164,-0.757,-0.186
1655,0.015,-0.019,0.001,9.594,0.354,-1.312,-46.358,4.081,-119.878,0.6,-0.165,-0.758,-0.187
1656,0.03,-0.042,-0.007,9.82,0.34,-1.49,-46.358,4.081,-119.878,0.598,-0.166,-0.759,-0.187
1657,-0.039,0.051,-0.009,9.662,0.374,-1.289,-46.532,4.712,-120.452,0.597,-0.166,-0.76,-0.188
1658,-0.029,-0.009,-0.031,9.503,0.34,-1.241,-46.532,4.712,-120.452,0.595,-0.167,-0.761,-0.188
1659,0.01,0.001,0.01,9.647,0.388,-1.356,-45.402,4.356,-121.433,0.593,-0.167,-0.762,-0.189
1660,-0.046,0.021,0.021,9.633,0.364,-1.265,-46.092,4.386,-120.443,0.592,-0.168,-0.763,-0.189
1661,0.001,0.031,-0.036,9.662,0.398,-1.346,-46.665,4.076,-120.324,0.59,-0.169,-0.764,-0.19
1662,0.074,-0.045,0.003,9.7,0.359,-1.466,-45.759,4.406,-119.27,0.588,-0.169,-0.766,-0.19
1663,0.001,0.02,0.032,9.657,0.297,-1.437,-44.868,3.6,-118.964,0.587,-0.17,-0.767,-0.19
1664,-0.024,0.014,0.038,9.594,0.388,-1.427,-45.821,5.177,-120.707,0.585,-0.171,-0.768,-0.19
1665,-0.013,0.02,0.034,9.642,0.436,-1.375,-46.376,3.265,-120.619,0.583,-0.172,-0.768,-0.191
1666,0.021,0.004,0.032,9.671,0.426,-1.312,-45.74,3.611,-118.995,0.582,-0.172,-0.769,-0.191
1667,-0.02,-0.013,-0.011,9.681,0.417,-1.346,-45.74,3.611,-118.995,0.58,-0.173,-0.771,-0.191
1668,0.037,-0.029,0,9.7,0.479,-1.432,-45.45,4.575,-118.676,0.578,-0.173,-0.772,-0.192
1669,0.007,-0.04,-0.025,9.681,0.441,-1.423,-47.214,3.134,-119.783,0.576,-0.174,-0.773,-0.192
1670,0.037,-0.008,0.041,9.657,0.225,-1.265,-47.214,3.134,-119.783,0.575,-0.175,-0.774,-0.192
1671,0.001,0.039,-0.004,9.791,0.321,-1.403,-46.334,3.289,-119.458,0.573,-0.175,-0.775,-0.192
1672,-0.039,0.018,-0.018,9.657,0.316,-1.456,-45.158,2.153,-119.437,0.571,-0.176,-0.776,-0.193
1673,-0.017,-0.014,0.002,9.633,0.345,-1.375,-45.461,3.278,-119.426,0.57,-0.177,-0.777,-0.193
1674,0.037,-0.041,0.023,9.724,0.445,-1.317,-45.964,4.052,-121.024,0.568,-0.177,-0.778,-0.193
1675,0.039,-0.068,0.018,9.681,0.503,-1.336,-46.367,4.882,-119.863,0.566,-0.178,-0.779,-0.194
1676,0.046,0.003,-0.006,9.69,0.441,-1.399,-46.399,5.348,-120.58,0.564,-0.178,-0.78,-0.194
1677,0.042,-0.001,0.037,9.662,0.354,-1.336,-46.096,4.706,-120.437,0.563,-0.179,-0.781,-0.194
1678,0.061,-0.064,-0.005,9.628,0.45,-1.284,-45.435,3.293,-118.7,0.561,-0.18,-0.782,-0.194
1679,-0.007,0.011,0.006,9.729,0.398,-1.298,-46.29,4.12,-117.991,0.559,-0.18,-0.783,-0.194
1680,0.019,-0.009,0.033,9.647,0.378,-1.389,-46.29,4.12,-117.991,0.558,-0.181,-0.784,-0.194
1681,0.032,-0.038,0.016,9.714,0.302,-1.332,-46.075,5.202,-119.702,0.556,-0.182,-0.785,-0.195
1682,0.012,-0.012,-0.003,9.566,0.469,-1.312,-46.075,5.202,-119.702,0.554,-0.182,-0.786,-0.195
1683,0.03,-0.002,0.085,9.729,0.474,-1.341,-46.092,4.386,-120.443,0.553,-0.183,-0.787,-0.195
1684,0.004,0.061,-0.044,9.671,0.359,-1.351,-45.934,3.746,-120.304,0.551,-0.183,-0.788,-0.195
1685,-0.029,0.039,-0.029,9.556,0.407,-1.351,-46.048,2.799,-119.747,0.55,-0.184,-0.789,-0.196
1686,0.059,-0.008,0.001,9.575,0.393,-1.418,-47.53,4.896,-119.905,0.548,-0.184,-0.79,-0.196
1687,-0.008,0.015,0.035,9.647,0.455,-1.293,-45.934,3.746,-120.304,0.547,-0.185,-0.791,-0.196
1688,0.03,0.003,0.007,9.757,0.388,-1.298,-45.441,3.774,-118.691,0.545,-0.186,-0.792,-0.196
1689,0.018,0.022,0.025,9.714,0.417,-1.389,-46.057,3.6,-119.732,0.544,-0.186,-0.792,-0.197
1690,0.021,-0.052,-0.003,9.705,0.24,-1.427,-46.057,3.6,-119.732,0.542,-0.187,-0.793,-0.197
1691,-0.013,0.032,0.043,9.642,0.225,-1.38,-47.703,3.109,-121.25,0.54,-0.188,-0.794,-0.197
1692,0.034,-0.045,0.044,9.671,0.235,-1.293,-45.928,4.556,-119.854,0.539,-0.188,-0.795,-0.197
1693,0.027,-0.016,0.059,9.748,0.513,-1.389,-47.617,3.964,-118.622,0.537,-0.189,-0.796,-0.197
1694,-0.021,-0.003,-0.007,9.647,0.326,-1.427,-45.512,4.055,-120.573,0.535,-0.19,-0.797,-0.197
1695,0.058,-0.041,0.047,9.681,0.259,-1.562,-46.33,2.969,-119.464,0.534,-0.191,-0.798,-0.197
1696,-0.043,-0.021,-0.009,9.671,0.287,-1.269,-44.772,3.732,-120.262,0.532,-0.191,-0.799,-0.198
1697,-0.033,-0.024,0.05,9.523,0.249,-1.322,-46.343,4.09,-119.443,0.53,-0.192,-0.8,-0.198
1698,0.013,-0.051,0.089,9.614,0.34,-1.485,-46.411,4.051,-121.33,0.529,-0.193,-0.801,-0.198
1699,0.046,-0.003,0.009,9.69,0.364,-1.451,-44.73,3.756,-119.101,0.527,-0.194,-0.801,-0.198
1700,0.037,-0.022,0.03,9.69,0.359,-1.423,-44.73,3.756,-119.101,0.525,-0.194,-0.802,-0.198
1701,-0.02,0.014,-0.033,9.69,0.359,-1.399,-45.483,3.75,-119.853,0.524,-0.195,-0.803,-0.198
1702,-0.031,-0.011,-0.013,9.695,0.292,-1.442,-45.492,4.551,-119.838,0.522,-0.195,-0.804,-0.199
1703,-0.014,-0.039,0.033,9.628,0.316,-1.456,-45.492,4.551,-119.838,0.52,-0.196,-0.805,-0.199
1704,-0.032,0.005,0.04,9.724,0.345,-1.384,-45.53,3.239,-121.314,0.519,-0.197,-0.805,-0.199
1705,-0.035,0.008,-0.019,9.57,0.388,-1.423,-45.168,1.664,-119.881,0.517,-0.198,-0.806,-0.2
1706,-0.016,0.019,0.022,9.618,0.331,-1.399,-45.474,2.949,-119.868,0.516,-0.198,-0.807,-0.2
1707,0.02,-0.004,0.025,9.714,0.35,-1.523,-46.398,2.93,-121.351,0.514,-0.199,-0.808,-0.2
1708,0.064,-0.014,0.05,9.681,0.34,-1.365,-46.031,3.615,-119.006,0.513,-0.2,-0.809,-0.2
1709,0.021,-0.034,0.1,9.614,0.388,-1.461,-45.803,3.575,-120.737,0.511,-0.201,-0.809,-0.2
1710,-0.031,0.043,0.039,9.647,0.369,-1.437,-46.074,2.784,-120.473,0.51,-0.201,-0.81,-0.2
1711,-0.053,0.055,0.016,9.7,0.364,-1.437,-46.343,4.09,-119.443,0.509,-0.202,-0.81,-0.201
1712,0.031,-0.064,0.099,9.561,0.297,-1.351,-45.892,3.77,-119.143,0.507,-0.203,-0.811,-0.201
1713,0.048,-0.02,0.051,9.652,0.388,-1.471,-45.892,3.77,-119.143,0.505,-0.204,-0.812,-0.2
1714,0.025,-0.02,0.048,9.599,0.398,-1.427,-45.18,4.076,-119.401,0.504,-0.205,-0.813,-0.2
1715,-0.011,0.025,-0.01,9.695,0.326,-1.456,-45.18,4.076,-119.401,0.503,-0.205,-0.813,-0.201
1716,0.015,-0.007,0.035,9.695,0.287,-1.442,-46.379,4.553,-120.305,0.501,-0.206,-0.814,-0.201
1717,-0.008,0.096,0.003,9.666,0.398,-1.499,-45.342,2.294,-120.455,0.5,-0.206,-0.815,-0.201
1718,-0.007,0.015,0.032,9.604,0.311,-1.451,-45.321,2.79,-119.72,0.499,-0.207,-0.815,-0.201
1719,0.004,0.006,0.048,9.57,0.436,-1.403,-46.933,3.931,-119.757,0.497,-0.208,-0.816,-0.202
1720,-0.039,0.047,-0.012,9.599,0.34,-1.356,-46.486,4.415,-119.297,0.496,-0.208,-0.816,-0.202
1721,0.016,0.019,0.1,9.647,0.364,-1.427,-46.39,4.547,-120.595,0.495,-0.209,-0.817,-0.202
1722,0.037,0.035,0.055,9.729,0.297,-1.346,-46.521,5.201,-120.008,0.493,-0.21,-0.818,-0.202
1723,-0.009,0.037,0.014,9.676,0.398,-1.423,-46.521,5.201,-120.008,0.492,-0.21,-0.818,-0.202
1724,-0.022,0.019,-0.007,9.623,0.417,-1.403,-45.189,4.877,-119.386,0.491,-0.211,-0.819,-0.203
1725,0.032,-0.022,0.043,9.585,0.225,-1.423,-45.189,4.877,-119.386,0.489,-0.212,-0.819,-0.203
1726,0.016,-0.022,0.056,9.719,0.311,-1.308,-46.521,2.783,-120.779,0.488,-0.212,-0.82,-0.203
1727,0.01,-0.02,-0.013,9.676,0.287,-1.375,-45.896,4.091,-119.137,0.486,-0.213,-0.821,-0.203
1728,0.019,0.017,0.023,9.666,0.335,-1.403,-46.649,4.085,-119.889,0.485,-0.213,-0.821,-0.203
1729,0.015,-0.002,-0.059,9.662,0.398,-1.365,-45.897,3.284,-119.442,0.484,-0.214,-0.822,-0.203
1730,0.06,-0.031,0.003,9.623,0.383,-1.528,-44.817,4.512,-121.264,0.482,-0.214,-0.823,-0.203
1731,-0.019,0.057,-0.075,9.657,0.359,-1.461,-45.202,3.257,-120.287,0.481,-0.214,-0.823,-0.204
1732,-0.002,0.046,-0.033,9.657,0.283,-1.298,-45.961,3.731,-121.03,0.48,-0.215,-0.824,-0.204
1733,-0.009,-0.017,-0.019,9.681,0.374,-1.332,-45.919,3.755,-119.869,0.478,-0.215,-0.825,-0.204
1734,0.041,-0.008,0.066,9.623,0.484,-1.461,-45.483,3.75,-119.853,0.477,-0.216,-0.825,-0.204
1735,-0.004,-0.031,0.027,9.523,0.383,-1.389,-45.483,3.75,-119.853,0.475,-0.217,-0.826,-0.204
1736,0,-0.01,0.034,9.709,0.354,-1.562,-46.947,5.213,-119.733,0.474,-0.217,-0.826,-0.205
