gx,gy,gz,ax,ay,az,mx,my,mz,q0,q1,q2,q3
0.03,-0.033,0.071,-0.057,0.144,10.217,-12.3,5.1,-25.73,0.844,-0.02,-0.141,0.513
-0.048,0.098,-0.06,0.172,0.034,10.246,-9.9,5.55,-24.23,0.845,-0.02,-0.141,0.513
-0.018,-0.012,0.015,-0.101,0.072,10.241,-9.9,5.55,-24.23,0.844,-0.02,-0.141,0.513
-0.019,0.048,-0.043,0.029,0.091,10.289,-9.45,3.3,-26.18,0.845,-0.02,-0.141,0.513
-0.099,0.098,-0.073,0.067,0.129,10.203,-9.45,3.3,-26.18,0.845,-0.021,-0.141,0.512
-0.074,0.064,-0.016,-0.01,0.086,10.351,-12.45,3.15,-25.88,0.845,-0.021,-0.141,0.512
-0.029,0.063,0.005,0.067,0.134,10.275,-10.8,5.7,-25.88,0.845,-0.021,-0.14,0.512
-0.052,0.075,-0.034,-0.048,0.096,10.246,-9.0,3.3,-25.73,0.845,-0.021,-0.14,0.512
-0.051,0.039,-0.039,0.048,0.072,10.26,-12.0,4.95,-26.63,0.845,-0.021,-0.14,0.512
-0.033,0.031,-0.017,-0.019,0.062,10.279,-11.7,4.65,-25.88,0.845,-0.021,-0.14,0.512
0.008,-0.032,0.017,-0.086,0.101,10.169,-11.7,4.2,-26.33,0.845,-0.021,-0.14,0.512
0.002,0.027,0.014,0.043,0.053,10.164,-11.7,4.2,-26.33,0.845,-0.021,-0.14,0.512
0.006,-0.016,0.042,0.062,0.096,10.217,-11.25,4.65,-24.08,0.845,-0.021,-0.141,0.513
0.024,-0.007,0.037,-0.038,0.211,10.246,-11.25,4.65,-24.08,0.845,-0.02,-0.141,0.513
-0.022,0.055,0.026,-0.024,0.101,10.342,-10.8,4.95,-25.88,0.845,-0.021,-0.141,0.513
0.016,0.0,0.041,-0.153,0.019,10.212,-11.25,4.65,-25.58,0.844,-0.02,-0.141,0.513
-0.004,-0.024,0.065,-0.067,-0.038,10.212,-10.2,3.75,-25.43,0.844,-0.02,-0.141,0.513
