ax,ay,az,gx,gy,gz,mx,my,mz
6312.0,-9048.0,15056.0,13731.0,32767.0,2821.0,-168.0,-301.0,-419.0
2552.0,-10856.0,13024.0,8499.0,32767.0,13494.0,-152.0,-309.0,-412.0
-16.0,-8256.0,13120.0,4755.0,32767.0,25396.0,-123.0,-321.0,-392.0
-816.0,-5864.0,11440.0,7254.0,32614.0,32767.0,-120.0,-336.0,-382.0
-1176.0,-4544.0,9104.0,8458.0,29692.0,32767.0,-110.0,-355.0,-355.0
-376.0,-3096.0,9072.0,7131.0,28380.0,32767.0,-123.0,-363.0,-337.0
-1648.0,-2584.0,11032.0,-3993.0,29120.0,32767.0,-145.0,-381.0,-344.0
2336.0,-264.0,14800.0,-3278.0,32078.0,32767.0,-196.0,-380.0,-331.0
9888.0,7216.0,15056.0,-3507.0,32767.0,32767.0,-217.0,-372.0,-335.0
12136.0,21752.0,12968.0,4466.0,32767.0,32767.0,-257.0,-358.0,-340.0
8184.0,28968.0,8760.0,-4662.0,32767.0,32767.0,-269.0,-347.0,-339.0
5328.0,30736.0,11064.0,-2546.0,32767.0,18774.0,-255.0,-334.0,-363.0
3328.0,21056.0,13344.0,-10093.0,32767.0,14824.0,-245.0,-339.0,-383.0
1576.0,21488.0,12416.0,-9298.0,32767.0,15730.0,-208.0,-334.0,-391.0
3592.0,23312.0,14792.0,-12235.0,32767.0,3559.0,-173.0,-328.0,-409.0
3648.0,28000.0,14568.0,-18289.0,32767.0,-13695.0,-143.0,-327.0,-413.0
-808.0,25024.0,11840.0,-23161.0,32767.0,-24816.0,-59.0,-305.0,-418.0
2576.0,20512.0,11336.0,-13413.0,32767.0,-32768.0,-13.0,-282.0,-399.0
424.0,17288.0,6208.0,-7465.0,32767.0,-32768.0,52.0,-237.0,-347.0
-3480.0,11064.0,-328.0,-2803.0,32767.0,-32768.0,80.0,-204.0,-262.0
-6080.0,8096.0,-2040.0,4024.0,32767.0,-29189.0,82.0,-163.0,-222.0
-7568.0,5880.0,-4016.0,3528.0,32767.0,-29565.0,76.0,-127.0,-168.0
-6392.0,2648.0,-6248.0,1304.0,32767.0,-31491.0,47.0,-112.0,-136.0
-3816.0,1624.0,-9184.0,1212.0,32767.0,-30533.0,21.0,-73.0,-106.0
-3056.0,376.0,-10040.0,6446.0,32546.0,-28448.0,-24.0,-65.0,-90.0
-216.0,-112.0,-10552.0,7146.0,32293.0,-28684.0,-66.0,-38.0,-78.0
-432.0,-1128.0,-11336.0,10251.0,32767.0,-31483.0,-98.0,-23.0,-60.0
4952.0,-2328.0,-11040.0,16213.0,32445.0,-32370.0,-139.0,-12.0,-69.0
8544.0,-5872.0,-8944.0,24082.0,32767.0,-32768.0,-195.0,1.0,-85.0
12368.0,-10384.0,-9304.0,30430.0,30892.0,-32768.0,-253.0,13.0,-113.0
14480.0,-14736.0,-11544.0,30867.0,22166.0,-32768.0,-274.0,1.0,-127.0
14504.0,-17472.0,-11360.0,32077.0,9856.0,-22382.0,-304.0,-12.0,-176.0
14720.0,-18520.0,-8192.0,32767.0,676.0,-7193.0,-321.0,-15.0,-204.0
15088.0,-16584.0,-4872.0,32767.0,-2675.0,-127.0,-328.0,-22.0,-243.0
14568.0,-18504.0,2576.0,32767.0,-3057.0,-537.0,-332.0,-33.0,-281.0
12944.0,-19496.0,9472.0,32767.0,8010.0,-3549.0,-328.0,-71.0,-330.0
13232.0,-17960.0,11776.0,32767.0,22118.0,-3424.0,-334.0,-89.0,-366.0
14024.0,-15000.0,14264.0,32767.0,25578.0,-7975.0,-315.0,-142.0,-417.0
12488.0,-16648.0,13592.0,32767.0,31625.0,-15239.0,-304.0,-191.0,-424.0
10088.0,-15824.0,12568.0,29453.0,32767.0,-8288.0,-271.0,-241.0,-433.0
8752.0,-11936.0,13720.0,19914.0,32767.0,-857.0,-242.0,-261.0,-440.0
7160.0,-8256.0,14424.0,10928.0,31269.0,4611.0,-203.0,-285.0,-433.0
5568.0,-7856.0,15824.0,6328.0,32767.0,11495.0,-173.0,-306.0,-419.0
3544.0,-7744.0,16480.0,2759.0,32767.0,18752.0,-154.0,-314.0,-432.0
568.0,-7104.0,16120.0,-1049.0,32767.0,26695.0,-136.0,-306.0,-412.0
472.0,-6304.0,14664.0,-2551.0,32558.0,32767.0,-120.0,-314.0,-404.0
-1424.0,-7256.0,13344.0,-4632.0,30242.0,32767.0,-126.0,-326.0,-395.0
96.0,-4848.0,12320.0,-1151.0,27332.0,32767.0,-137.0,-332.0,-393.0
392.0,-1896.0,11360.0,581.0,29775.0,32767.0,-143.0,-342.0,-376.0
2048.0,2928.0,11416.0,-6044.0,31958.0,32767.0,-166.0,-344.0,-366.0
2616.0,6584.0,10256.0,-1132.0,31919.0,32767.0,-190.0,-347.0,-371.0
2032.0,10984.0,7416.0,959.0,29415.0,32767.0,-204.0,-350.0,-362.0
1888.0,16432.0,6696.0,-804.0,27630.0,32767.0,-202.0,-355.0,-367.0
2072.0,20320.0,7744.0,-1058.0,26031.0,32767.0,-217.0,-353.0,-370.0
2216.0,20872.0,11312.0,-28.0,30120.0,29235.0,-227.0,-352.0,-366.0
2872.0,21592.0,12096.0,-3985.0,32767.0,23009.0,-229.0,-342.0,-381.0
3032.0,21760.0,11880.0,-6218.0,32767.0,16700.0,-208.0,-349.0,-381.0
5144.0,21832.0,10912.0,-5936.0,32767.0,10450.0,-190.0,-344.0,-413.0
5616.0,24176.0,10912.0,-12779.0,32767.0,-2036.0,-162.0,-343.0,-407.0
2192.0,26800.0,14024.0,-14632.0,32767.0,-17335.0,-120.0,-333.0,-407.0
864.0,23312.0,13992.0,-9074.0,32767.0,-30343.0,-44.0,-311.0,-395.0
1288.0,20864.0,14120.0,-11306.0,32767.0,-32768.0,18.0,-279.0,-362.0
1208.0,17424.0,7208.0,-5384.0,32767.0,-32768.0,47.0,-262.0,-335.0
-1296.0,10632.0,96.0,4883.0,32767.0,-32768.0,78.0,-198.0,-255.0
-7128.0,5504.0,-2176.0,7157.0,32767.0,-30773.0,85.0,-180.0,-219.0
-8288.0,3400.0,-4256.0,7966.0,32767.0,-26978.0,64.0,-128.0,-162.0
-7104.0,1856.0,-8320.0,12660.0,29784.0,-21053.0,64.0,-111.0,-140.0
-6720.0,2992.0,-7664.0,21216.0,17778.0,-19241.0,27.0,-94.0,-118.0
-10808.0,1664.0,-4000.0,18306.0,18942.0,-28964.0,5.0,-53.0,-116.0
-2232.0,-3136.0,-9992.0,19888.0,27191.0,-32768.0,-21.0,-36.0,-114.0
680.0,-4352.0,-10424.0,22226.0,24907.0,-32768.0,-66.0,-1.0,-113.0
4776.0,-7816.0,-9808.0,22218.0,22319.0,-32768.0,-124.0,23.0,-125.0
8752.0,-10336.0,-11552.0,21885.0,17078.0,-32768.0,-190.0,35.0,-147.0
10952.0,-13920.0,-11680.0,20374.0,8576.0,-32768.0,-237.0,35.0,-165.0
11176.0,-17280.0,-9992.0,25184.0,-74.0,-32768.0,-266.0,28.0,-172.0
9440.0,-17776.0,-7232.0,28476.0,-4105.0,-22899.0,-307.0,7.0,-201.0
8616.0,-16120.0,-3840.0,32767.0,-1856.0,-11528.0,-321.0,3.0,-219.0
11384.0,-13336.0,-120.0,32767.0,1507.0,-6480.0,-330.0,-4.0,-260.0
12968.0,-13160.0,4808.0,32767.0,8327.0,-11388.0,-326.0,-20.0,-274.0
13392.0,-18056.0,9536.0,32767.0,18265.0,-24211.0,-336.0,-63.0,-347.0
12624.0,-20480.0,11792.0,32767.0,25157.0,-20909.0,-334.0,-114.0,-376.0
12896.0,-19096.0,13064.0,32767.0,30230.0,-12545.0,-329.0,-163.0,-408.0
13536.0,-15408.0,16040.0,32767.0,32696.0,-8219.0,-307.0,-210.0,-434.0
13704.0,-14016.0,16688.0,28867.0,32767.0,-1926.0,-263.0,-246.0,-436.0
11016.0,-13240.0,17256.0,21497.0,32767.0,4397.0,-240.0,-268.0,-440.0
9144.0,-11224.0,17168.0,14974.0,32767.0,14798.0,-215.0,-289.0,-432.0
8024.0,-9848.0,15752.0,8697.0,32767.0,22276.0,-183.0,-289.0,-429.0
4680.0,-9112.0,15480.0,904.0,32767.0,27269.0,-156.0,-310.0,-418.0
1752.0,-6576.0,15160.0,1438.0,32767.0,32767.0,-147.0,-306.0,-417.0
880.0,-6704.0,12560.0,1895.0,32767.0,32767.0,-137.0,-320.0,-388.0
-248.0,-6952.0,9536.0,-17.0,32767.0,32767.0,-145.0,-334.0,-396.0
1504.0,-2440.0,9776.0,-4185.0,30731.0,32767.0,-150.0,-337.0,-378.0
1160.0,2632.0,11464.0,-6573.0,27421.0,32767.0,-161.0,-344.0,-383.0
2072.0,7016.0,12432.0,2629.0,28293.0,32767.0,-179.0,-347.0,-386.0
1384.0,9672.0,11432.0,-1193.0,25816.0,32767.0,-212.0,-348.0,-382.0
1456.0,15192.0,11160.0,-638.0,23658.0,32767.0,-221.0,-349.0,-388.0
952.0,17632.0,14872.0,1383.0,26199.0,32767.0,-225.0,-350.0,-377.0
-536.0,16040.0,18728.0,-1144.0,32767.0,27060.0,-225.0,-345.0,-377.0
1664.0,16896.0,13096.0,-297.0,32767.0,23812.0,-216.0,-334.0,-391.0
3960.0,17568.0,11688.0,-6470.0,32767.0,15384.0,-187.0,-349.0,-401.0
5368.0,19688.0,11648.0,-6437.0,32767.0,10781.0,-166.0,-356.0,-398.0
4784.0,22912.0,11016.0,-10850.0,32767.0,1447.0,-108.0,-349.0,-413.0
5832.0,23664.0,8520.0,-9942.0,32767.0,-9572.0,-91.0,-348.0,-404.0
3000.0,23344.0,7208.0,-11247.0,32767.0,-14136.0,-30.0,-332.0,-386.0
1064.0,23248.0,6864.0,-10447.0,32767.0,-19663.0,30.0,-307.0,-361.0
-1800.0,21552.0,7072.0,-8558.0,32767.0,-22871.0,55.0,-279.0,-330.0
-4176.0,20568.0,7064.0,-4872.0,32767.0,-25630.0,77.0,-261.0,-284.0
-4624.0,17088.0,6280.0,1732.0,32767.0,-28055.0,90.0,-234.0,-237.0
-4784.0,13024.0,2936.0,5332.0,32767.0,-28265.0,89.0,-210.0,-193.0
-4768.0,10008.0,304.0,9418.0,32767.0,-27412.0,84.0,-169.0,-136.0
-3400.0,7424.0,-3312.0,15995.0,32767.0,-26511.0,57.0,-147.0,-101.0
-1952.0,4736.0,-7672.0,23670.0,32767.0,-28466.0,34.0,-115.0,-62.0
736.0,768.0,-10936.0,27293.0,32767.0,-32153.0,11.0,-89.0,-55.0
2088.0,-1896.0,-12360.0,27576.0,31233.0,-32768.0,-66.0,-42.0,-40.0
4688.0,-4160.0,-10640.0,28607.0,26548.0,-32768.0,-123.0,-0.0,-54.0
8416.0,-6376.0,-9696.0,30202.0,21597.0,-32768.0,-157.0,19.0,-67.0
12280.0,-10288.0,-9368.0,27818.0,17250.0,-32768.0,-219.0,23.0,-100.0
13608.0,-14888.0,-10872.0,27001.0,11299.0,-32768.0,-267.0,34.0,-139.0
13928.0,-18088.0,-11232.0,25855.0,3592.0,-27525.0,-300.0,20.0,-155.0
12144.0,-16560.0,-7648.0,27918.0,4311.0,-16331.0,-329.0,8.0,-182.0
12752.0,-17496.0,-5216.0,32767.0,11395.0,-4489.0,-338.0,2.0,-211.0
14544.0,-16504.0,-4752.0,32767.0,14447.0,3806.0,-346.0,-2.0,-245.0
15376.0,-13768.0,-1344.0,32767.0,13540.0,-1901.0,-345.0,-30.0,-309.0
15584.0,-13864.0,4944.0,32767.0,11033.0,-12418.0,-333.0,-61.0,-352.0
11200.0,-20312.0,10120.0,32767.0,18498.0,-18292.0,-329.0,-126.0,-406.0
10664.0,-23656.0,11128.0,32767.0,26899.0,-7134.0,-321.0,-141.0,-416.0
12456.0,-17536.0,11896.0,32767.0,28413.0,6494.0,-291.0,-193.0,-432.0
13752.0,-14128.0,11888.0,32767.0,27732.0,11502.0,-278.0,-225.0,-442.0
9744.0,-14144.0,14368.0,26538.0,27381.0,16918.0,-248.0,-266.0,-431.0
6904.0,-15656.0,13920.0,22980.0,27487.0,29682.0,-233.0,-284.0,-434.0
4232.0,-14976.0,13392.0,20032.0,27978.0,32767.0,-228.0,-304.0,-424.0
5512.0,-11016.0,10080.0,13396.0,26505.0,32767.0,-224.0,-310.0,-411.0
5080.0,-12376.0,10104.0,2984.0,19418.0,32767.0,-227.0,-320.0,-403.0
10560.0,-10304.0,13632.0,1733.0,21398.0,32767.0,-246.0,-304.0,-419.0
12856.0,2400.0,14656.0,3944.0,24710.0,32767.0,-253.0,-288.0,-408.0
8376.0,9520.0,14432.0,3088.0,30098.0,32767.0,-263.0,-268.0,-421.0
4632.0,6200.0,14072.0,2043.0,29477.0,32767.0,-248.0,-261.0,-426.0
3936.0,8960.0,16328.0,5668.0,31048.0,32767.0,-245.0,-258.0,-440.0
1176.0,15032.0,10120.0,-1283.0,32767.0,32767.0,-220.0,-252.0,-444.0
